rate_date,currency,pkr_per_unit
2026-06-09,AED,75.5553
2026-06-09,PKR,1.0
2026-06-09,USD,279.5488
2026-06-10,AED,75.6772
2026-06-10,PKR,1.0
2026-06-10,USD,280.2151
2026-06-11,AED,75.8007
2026-06-11,PKR,1.0
2026-06-11,USD,280.6761
2026-06-12,AED,75.9299
2026-06-12,PKR,1.0
2026-06-12,USD,280.8216
2026-06-13,AED,75.8606
2026-06-13,PKR,1.0
2026-06-13,USD,281.4791
2026-06-14,AED,75.9683
2026-06-14,PKR,1.0
2026-06-14,USD,281.5989
2026-06-15,AED,75.8451
2026-06-15,PKR,1.0
2026-06-15,USD,281.7084
2026-06-16,AED,75.6658
2026-06-16,PKR,1.0
2026-06-16,USD,282.4092
2026-06-17,AED,75.6872
2026-06-17,PKR,1.0
2026-06-17,USD,281.8027
2026-06-18,AED,75.8206
2026-06-18,PKR,1.0
2026-06-18,USD,281.9523
2026-06-19,AED,76.0032
2026-06-19,PKR,1.0
2026-06-19,USD,282.4161
2026-06-20,AED,76.0971
2026-06-20,PKR,1.0
2026-06-20,USD,281.7475
2026-06-21,AED,76.2486
2026-06-21,PKR,1.0
2026-06-21,USD,281.7135
2026-06-22,AED,76.2376
2026-06-22,PKR,1.0
2026-06-22,USD,281.606
2026-06-23,AED,76.1015
2026-06-23,PKR,1.0
2026-06-23,USD,281.1926
2026-06-24,AED,76.183
2026-06-24,PKR,1.0
2026-06-24,USD,280.9533
2026-06-25,AED,76.1018
2026-06-25,PKR,1.0
2026-06-25,USD,280.5009
2026-06-26,AED,76.2505
2026-06-26,PKR,1.0
2026-06-26,USD,281.167
2026-06-27,AED,76.2811
2026-06-27,PKR,1.0
2026-06-27,USD,281.3633
2026-06-28,AED,76.3274
2026-06-28,PKR,1.0
2026-06-28,USD,281.6879
2026-06-29,AED,76.3141
2026-06-29,PKR,1.0
2026-06-29,USD,281.6551
2026-06-30,AED,76.4487
2026-06-30,PKR,1.0
2026-06-30,USD,281.0155
2026-07-01,AED,76.3489
2026-07-01,PKR,1.0
2026-07-01,USD,281.2411
2026-07-02,AED,76.1837
2026-07-02,PKR,1.0
2026-07-02,USD,281.9323
2026-07-03,AED,76.316
2026-07-03,PKR,1.0
2026-07-03,USD,281.2635
2026-07-04,AED,76.1541
2026-07-04,PKR,1.0
2026-07-04,USD,281.9605
2026-07-05,AED,76.0586
2026-07-05,PKR,1.0
2026-07-05,USD,282.357
2026-07-06,AED,75.9057
2026-07-06,PKR,1.0
2026-07-06,USD,282.7482
2026-07-07,AED,75.9257
2026-07-07,PKR,1.0
2026-07-07,USD,283.2369
2026-07-08,AED,76.0353
2026-07-08,PKR,1.0
2026-07-08,USD,282.9186
2026-07-09,AED,76.1953
2026-07-09,PKR,1.0
2026-07-09,USD,282.7087
2026-07-10,AED,76.2839
2026-07-10,PKR,1.0
2026-07-10,USD,283.2686
2026-07-11,AED,76.2908
2026-07-11,PKR,1.0
2026-07-11,USD,282.6006
2026-07-12,AED,76.4464
2026-07-12,PKR,1.0
2026-07-12,USD,282.8065
2026-07-13,AED,76.2666
2026-07-13,PKR,1.0
2026-07-13,USD,282.5137
2026-07-14,AED,76.1809
2026-07-14,PKR,1.0
2026-07-14,USD,283.154
2026-07-15,AED,76.0706
2026-07-15,PKR,1.0
2026-07-15,USD,282.8644
2026-07-16,AED,76.1059
2026-07-16,PKR,1.0
2026-07-16,USD,282.6956
2026-07-17,AED,76.2183
2026-07-17,PKR,1.0
2026-07-17,USD,282.6563
2026-07-18,AED,76.3331
2026-07-18,PKR,1.0
2026-07-18,USD,282.322
2026-07-19,AED,76.2227
2026-07-19,PKR,1.0
2026-07-19,USD,282.1371
2026-07-20,AED,76.3041
2026-07-20,PKR,1.0
2026-07-20,USD,281.9934
2026-07-21,AED,76.4607
2026-07-21,PKR,1.0
2026-07-21,USD,282.2713
2026-07-22,AED,76.6058
2026-07-22,PKR,1.0
2026-07-22,USD,282.5811
2026-07-23,AED,76.6795
2026-07-23,PKR,1.0
2026-07-23,USD,282.5906
2026-07-24,AED,76.8673
2026-07-24,PKR,1.0
2026-07-24,USD,282.3407
2026-07-25,AED,76.8794
2026-07-25,PKR,1.0
2026-07-25,USD,282.2651
2026-07-26,AED,76.7806
2026-07-26,PKR,1.0
2026-07-26,USD,282.6993
2026-07-27,AED,76.6041
2026-07-27,PKR,1.0
2026-07-27,USD,282.316
2026-07-28,AED,76.4303
2026-07-28,PKR,1.0
2026-07-28,USD,282.0575
2026-07-29,AED,76.4947
2026-07-29,PKR,1.0
2026-07-29,USD,282.6604
2026-07-30,AED,76.669
2026-07-30,PKR,1.0
2026-07-30,USD,282.0287
2026-07-31,AED,76.8108
2026-07-31,PKR,1.0
2026-07-31,USD,281.5202
2026-08-01,AED,76.9903
2026-08-01,PKR,1.0
2026-08-01,USD,282.1006
2026-08-02,AED,77.0483
2026-08-02,PKR,1.0
2026-08-02,USD,282.3253
2026-08-03,AED,76.9929
2026-08-03,PKR,1.0
2026-08-03,USD,281.657
2026-08-04,AED,76.8834
2026-08-04,PKR,1.0
2026-08-04,USD,281.9294
2026-08-05,AED,76.8103
2026-08-05,PKR,1.0
2026-08-05,USD,281.6671
2026-08-06,AED,76.9322
2026-08-06,PKR,1.0
2026-08-06,USD,281.1331
2026-08-07,AED,77.0188
2026-08-07,PKR,1.0
2026-08-07,USD,280.863
2026-08-08,AED,77.1776
2026-08-08,PKR,1.0
2026-08-08,USD,281.2176
2026-08-09,AED,77.0272
2026-08-09,PKR,1.0
2026-08-09,USD,281.7338
2026-08-10,AED,77.01
2026-08-10,PKR,1.0
2026-08-10,USD,281.7352
2026-08-11,AED,77.1436
2026-08-11,PKR,1.0
2026-08-11,USD,281.3877
2026-08-12,AED,77.1916
2026-08-12,PKR,1.0
2026-08-12,USD,282.0676
2026-08-13,AED,77.3059
2026-08-13,PKR,1.0
2026-08-13,USD,282.6995
2026-08-14,AED,77.159
2026-08-14,PKR,1.0
2026-08-14,USD,282.2249
2026-08-15,AED,77.0441
2026-08-15,PKR,1.0
2026-08-15,USD,282.617
2026-08-16,AED,77.0198
2026-08-16,PKR,1.0
2026-08-16,USD,282.7761
2026-08-17,AED,77.0026
2026-08-17,PKR,1.0
2026-08-17,USD,282.884
2026-08-18,AED,77.1481
2026-08-18,PKR,1.0
2026-08-18,USD,282.341
2026-08-19,AED,76.9601
2026-08-19,PKR,1.0
2026-08-19,USD,282.655
2026-08-20,AED,77.0617
2026-08-20,PKR,1.0
2026-08-20,USD,282.391
2026-08-21,AED,77.147
2026-08-21,PKR,1.0
2026-08-21,USD,282.4552
2026-08-22,AED,77.0098
2026-08-22,PKR,1.0
2026-08-22,USD,282.0149
2026-08-23,AED,77.1922
2026-08-23,PKR,1.0
2026-08-23,USD,281.7226
2026-08-24,AED,77.086
2026-08-24,PKR,1.0
2026-08-24,USD,281.7138
2026-08-25,AED,76.9212
2026-08-25,PKR,1.0
2026-08-25,USD,281.7945
2026-08-26,AED,77.034
2026-08-26,PKR,1.0
2026-08-26,USD,281.0936
2026-08-27,AED,76.9972
2026-08-27,PKR,1.0
2026-08-27,USD,280.6941
2026-08-28,AED,77.0306
2026-08-28,PKR,1.0
2026-08-28,USD,280.2811
2026-08-29,AED,77.0751
2026-08-29,PKR,1.0
2026-08-29,USD,279.5896
2026-08-30,AED,77.262
2026-08-30,PKR,1.0
2026-08-30,USD,279.7317
2026-08-31,AED,77.3586
2026-08-31,PKR,1.0
2026-08-31,USD,279.8606
2026-09-01,AED,77.4723
2026-09-01,PKR,1.0
2026-09-01,USD,279.6511
2026-09-02,AED,77.3896
2026-09-02,PKR,1.0
2026-09-02,USD,279.205
2026-09-03,AED,77.5557
2026-09-03,PKR,1.0
2026-09-03,USD,279.2403
2026-09-04,AED,77.5709
2026-09-04,PKR,1.0
2026-09-04,USD,279.5663
2026-09-05,AED,77.5557
2026-09-05,PKR,1.0
2026-09-05,USD,279.917
2026-09-06,AED,77.7246
2026-09-06,PKR,1.0
2026-09-06,USD,279.5504
2026-09-07,AED,77.735
2026-09-07,PKR,1.0
2026-09-07,USD,279.9342
2026-09-08,AED,77.7974
2026-09-08,PKR,1.0
2026-09-08,USD,280.5472
2026-09-09,AED,77.8399
2026-09-09,PKR,1.0
2026-09-09,USD,280.2386
2026-09-10,AED,77.7156
2026-09-10,PKR,1.0
2026-09-10,USD,280.6956
2026-09-11,AED,77.8497
2026-09-11,PKR,1.0
2026-09-11,USD,280.7989
2026-09-12,AED,77.6863
2026-09-12,PKR,1.0
2026-09-12,USD,280.2928
2026-09-13,AED,77.5399
2026-09-13,PKR,1.0
2026-09-13,USD,280.8461
2026-09-14,AED,77.4244
2026-09-14,PKR,1.0
2026-09-14,USD,281.214
2026-09-15,AED,77.5982
2026-09-15,PKR,1.0
2026-09-15,USD,280.6618
2026-09-16,AED,77.6594
2026-09-16,PKR,1.0
2026-09-16,USD,280.5353
2026-09-17,AED,77.4775
2026-09-17,PKR,1.0
2026-09-17,USD,280.0629
2026-09-18,AED,77.2907
2026-09-18,PKR,1.0
2026-09-18,USD,280.1458
2026-09-19,AED,77.2638
2026-09-19,PKR,1.0
2026-09-19,USD,280.6558
2026-09-20,AED,77.3592
2026-09-20,PKR,1.0
2026-09-20,USD,280.2161
2026-09-21,AED,77.262
2026-09-21,PKR,1.0
2026-09-21,USD,280.1451
2026-09-22,AED,77.2641
2026-09-22,PKR,1.0
2026-09-22,USD,279.9352
2026-09-23,AED,77.4429
2026-09-23,PKR,1.0
2026-09-23,USD,280.0018
2026-09-24,AED,77.4062
2026-09-24,PKR,1.0
2026-09-24,USD,280.6137
2026-09-25,AED,77.2708
2026-09-25,PKR,1.0
2026-09-25,USD,280.4742
2026-09-26,AED,77.2793
2026-09-26,PKR,1.0
2026-09-26,USD,279.8347
2026-09-27,AED,77.1528
2026-09-27,PKR,1.0
2026-09-27,USD,280.269
2026-09-28,AED,77.0143
2026-09-28,PKR,1.0
2026-09-28,USD,280.5661
2026-09-29,AED,77.166
2026-09-29,PKR,1.0
2026-09-29,USD,280.0115
2026-09-30,AED,77.1444
2026-09-30,PKR,1.0
2026-09-30,USD,279.7339
2026-10-01,AED,77.3174
2026-10-01,PKR,1.0
2026-10-01,USD,279.4337
2026-10-02,AED,77.1945
2026-10-02,PKR,1.0
2026-10-02,USD,278.9819
2026-10-03,AED,77.0591
2026-10-03,PKR,1.0
2026-10-03,USD,278.4663
2026-10-04,AED,77.0103
2026-10-04,PKR,1.0
2026-10-04,USD,279.1334
2026-10-05,AED,77.1241
2026-10-05,PKR,1.0
2026-10-05,USD,279.0155
2026-10-06,AED,77.2087
2026-10-06,PKR,1.0
2026-10-06,USD,279.6054
2026-10-07,AED,77.103
2026-10-07,PKR,1.0
2026-10-07,USD,279.9587
2026-10-08,AED,77.202
2026-10-08,PKR,1.0
2026-10-08,USD,280.5182
2026-10-09,AED,77.2231
2026-10-09,PKR,1.0
2026-10-09,USD,280.8743
2026-10-10,AED,77.1876
2026-10-10,PKR,1.0
2026-10-10,USD,280.6652
2026-10-11,AED,77.1905
2026-10-11,PKR,1.0
2026-10-11,USD,281.2073
2026-10-12,AED,77.2393
2026-10-12,PKR,1.0
2026-10-12,USD,281.3655
2026-10-13,AED,77.28
2026-10-13,PKR,1.0
2026-10-13,USD,281.1893
2026-10-14,AED,77.3538
2026-10-14,PKR,1.0
2026-10-14,USD,281.2022
2026-10-15,AED,77.4181
2026-10-15,PKR,1.0
2026-10-15,USD,281.786
2026-10-16,AED,77.5633
2026-10-16,PKR,1.0
2026-10-16,USD,281.7038
2026-10-17,AED,77.7055
2026-10-17,PKR,1.0
2026-10-17,USD,281.9001
2026-10-18,AED,77.77
2026-10-18,PKR,1.0
2026-10-18,USD,281.2631
2026-10-19,AED,77.7358
2026-10-19,PKR,1.0
2026-10-19,USD,281.6943
2026-10-20,AED,77.841
2026-10-20,PKR,1.0
2026-10-20,USD,281.0953
2026-10-21,AED,77.688
2026-10-21,PKR,1.0
2026-10-21,USD,281.1124
2026-10-22,AED,77.5718
2026-10-22,PKR,1.0
2026-10-22,USD,281.7034
2026-10-23,AED,77.537
2026-10-23,PKR,1.0
2026-10-23,USD,281.1725
2026-10-24,AED,77.3892
2026-10-24,PKR,1.0
2026-10-24,USD,281.2106
2026-10-25,AED,77.2341
2026-10-25,PKR,1.0
2026-10-25,USD,281.6306
2026-10-26,AED,77.0843
2026-10-26,PKR,1.0
2026-10-26,USD,281.2048
2026-10-27,AED,76.9473
2026-10-27,PKR,1.0
2026-10-27,USD,281.7139
2026-10-28,AED,76.9952
2026-10-28,PKR,1.0
2026-10-28,USD,281.2331
2026-10-29,AED,77.0556
2026-10-29,PKR,1.0
2026-10-29,USD,281.5179
2026-10-30,AED,76.9919
2026-10-30,PKR,1.0
2026-10-30,USD,282.118
2026-10-31,AED,77.0759
2026-10-31,PKR,1.0
2026-10-31,USD,281.8458
2026-11-01,AED,76.9253
2026-11-01,PKR,1.0
2026-11-01,USD,281.7411
2026-11-02,AED,77.033
2026-11-02,PKR,1.0
2026-11-02,USD,281.1721
2026-11-03,AED,76.9982
2026-11-03,PKR,1.0
2026-11-03,USD,281.8023
2026-11-04,AED,76.8681
2026-11-04,PKR,1.0
2026-11-04,USD,281.7585
2026-11-05,AED,76.7873
2026-11-05,PKR,1.0
2026-11-05,USD,281.2684
2026-11-06,AED,76.6027
2026-11-06,PKR,1.0
2026-11-06,USD,280.8672
2026-11-07,AED,76.6481
2026-11-07,PKR,1.0
2026-11-07,USD,281.1821
2026-11-08,AED,76.7588
2026-11-08,PKR,1.0
2026-11-08,USD,281.5534
2026-11-09,AED,76.7154
2026-11-09,PKR,1.0
2026-11-09,USD,280.9261
2026-11-10,AED,76.863
2026-11-10,PKR,1.0
2026-11-10,USD,281.041
2026-11-11,AED,76.7571
2026-11-11,PKR,1.0
2026-11-11,USD,280.5077
2026-11-12,AED,76.8228
2026-11-12,PKR,1.0
2026-11-12,USD,280.6327
2026-11-13,AED,76.9196
2026-11-13,PKR,1.0
2026-11-13,USD,279.9675
2026-11-14,AED,77.0372
2026-11-14,PKR,1.0
2026-11-14,USD,279.9636
2026-11-15,AED,76.9556
2026-11-15,PKR,1.0
2026-11-15,USD,279.8699
2026-11-16,AED,77.1419
2026-11-16,PKR,1.0
2026-11-16,USD,280.3558
2026-11-17,AED,77.079
2026-11-17,PKR,1.0
2026-11-17,USD,280.2107
2026-11-18,AED,77.036
2026-11-18,PKR,1.0
2026-11-18,USD,280.5885
2026-11-19,AED,77.1387
2026-11-19,PKR,1.0
2026-11-19,USD,280.5196
2026-11-20,AED,77.0034
2026-11-20,PKR,1.0
2026-11-20,USD,280.2628
2026-11-21,AED,77.0608
2026-11-21,PKR,1.0
2026-11-21,USD,280.057
2026-11-22,AED,76.9098
2026-11-22,PKR,1.0
2026-11-22,USD,280.4759
2026-11-23,AED,76.8006
2026-11-23,PKR,1.0
2026-11-23,USD,280.7983
2026-11-24,AED,76.754
2026-11-24,PKR,1.0
2026-11-24,USD,280.9457
2026-11-25,AED,76.6575
2026-11-25,PKR,1.0
2026-11-25,USD,280.2825
2026-11-26,AED,76.7128
2026-11-26,PKR,1.0
2026-11-26,USD,280.094
2026-11-27,AED,76.6787
2026-11-27,PKR,1.0
2026-11-27,USD,280.0179
2026-11-28,AED,76.5148
2026-11-28,PKR,1.0
2026-11-28,USD,279.4709
2026-11-29,AED,76.6145
2026-11-29,PKR,1.0
2026-11-29,USD,279.2555
2026-11-30,AED,76.6057
2026-11-30,PKR,1.0
2026-11-30,USD,279.2115
2026-12-01,AED,76.561
2026-12-01,PKR,1.0
2026-12-01,USD,279.2387
2026-12-02,AED,76.438
2026-12-02,PKR,1.0
2026-12-02,USD,278.7948
2026-12-03,AED,76.4919
2026-12-03,PKR,1.0
2026-12-03,USD,279.4776
2026-12-04,AED,76.4651
2026-12-04,PKR,1.0
2026-12-04,USD,280.0784
2026-12-05,AED,76.4845
2026-12-05,PKR,1.0
2026-12-05,USD,280.3648
2026-12-06,AED,76.6649
2026-12-06,PKR,1.0
2026-12-06,USD,280.2572
2026-12-07,AED,76.6171
2026-12-07,PKR,1.0
2026-12-07,USD,279.8207
2026-12-08,AED,76.7639
2026-12-08,PKR,1.0
2026-12-08,USD,280.2303
2026-12-09,AED,76.7142
2026-12-09,PKR,1.0
2026-12-09,USD,279.8342
2026-12-10,AED,76.8745
2026-12-10,PKR,1.0
2026-12-10,USD,279.3645
2026-12-11,AED,76.9464
2026-12-11,PKR,1.0
2026-12-11,USD,279.6375
2026-12-12,AED,76.9285
2026-12-12,PKR,1.0
2026-12-12,USD,279.6753
2026-12-13,AED,76.9346
2026-12-13,PKR,1.0
2026-12-13,USD,279.4523
2026-12-14,AED,76.9909
2026-12-14,PKR,1.0
2026-12-14,USD,279.9022
2026-12-15,AED,76.9849
2026-12-15,PKR,1.0
2026-12-15,USD,279.8898
2026-12-16,AED,77.1494
2026-12-16,PKR,1.0
2026-12-16,USD,279.195
2026-12-17,AED,76.9778
2026-12-17,PKR,1.0
2026-12-17,USD,278.691
2026-12-18,AED,77.1016
2026-12-18,PKR,1.0
2026-12-18,USD,279.2703
2026-12-19,AED,77.0739
2026-12-19,PKR,1.0
2026-12-19,USD,279.154
2026-12-20,AED,77.2416
2026-12-20,PKR,1.0
2026-12-20,USD,279.1844
2026-12-21,AED,77.303
2026-12-21,PKR,1.0
2026-12-21,USD,278.5963
2026-12-22,AED,77.2563
2026-12-22,PKR,1.0
2026-12-22,USD,278.6385
2026-12-23,AED,77.3661
2026-12-23,PKR,1.0
2026-12-23,USD,278.6957
2026-12-24,AED,77.2087
2026-12-24,PKR,1.0
2026-12-24,USD,278.0834
2026-12-25,AED,77.29
2026-12-25,PKR,1.0
2026-12-25,USD,277.7847
2026-12-26,AED,77.2994
2026-12-26,PKR,1.0
2026-12-26,USD,277.1388
2026-12-27,AED,77.2501
2026-12-27,PKR,1.0
2026-12-27,USD,276.4556
2026-12-28,AED,77.2525
2026-12-28,PKR,1.0
2026-12-28,USD,276.5266
2026-12-29,AED,77.4175
2026-12-29,PKR,1.0
2026-12-29,USD,276.8891
2026-12-30,AED,77.3215
2026-12-30,PKR,1.0
2026-12-30,USD,276.21
2026-12-31,AED,77.3753
2026-12-31,PKR,1.0
2026-12-31,USD,275.964
2027-01-01,AED,77.4534
2027-01-01,PKR,1.0
2027-01-01,USD,276.1904
2027-01-02,AED,77.4634
2027-01-02,PKR,1.0
2027-01-02,USD,276.284
2027-01-03,AED,77.3704
2027-01-03,PKR,1.0
2027-01-03,USD,276.9028
2027-01-04,AED,77.5107
2027-01-04,PKR,1.0
2027-01-04,USD,276.2269
2027-01-05,AED,77.6164
2027-01-05,PKR,1.0
2027-01-05,USD,275.7521
2027-01-06,AED,77.5822
2027-01-06,PKR,1.0
2027-01-06,USD,276.244
2027-01-07,AED,77.6594
2027-01-07,PKR,1.0
2027-01-07,USD,276.2629
2027-01-08,AED,77.5666
2027-01-08,PKR,1.0
2027-01-08,USD,276.8866
2027-01-09,AED,77.5569
2027-01-09,PKR,1.0
2027-01-09,USD,276.7644
2027-01-10,AED,77.5045
2027-01-10,PKR,1.0
2027-01-10,USD,277.4309
2027-01-11,AED,77.6863
2027-01-11,PKR,1.0
2027-01-11,USD,276.9057
2027-01-12,AED,77.5928
2027-01-12,PKR,1.0
2027-01-12,USD,277.0113
2027-01-13,AED,77.5266
2027-01-13,PKR,1.0
2027-01-13,USD,277.4121
2027-01-14,AED,77.495
2027-01-14,PKR,1.0
2027-01-14,USD,277.5643
2027-01-15,AED,77.5468
2027-01-15,PKR,1.0
2027-01-15,USD,278.0872
2027-01-16,AED,77.3542
2027-01-16,PKR,1.0
2027-01-16,USD,278.5916
